cnuc,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,administra,SiglaGrupo,UF,municipios,biomaIBGE,biomaCRL,CoordRegio
1564,RESERVA EXTRATIVISTA CHAPADA LIMPA,2007,Resex,119732313,499873636,DEC S/N de 26/09/2007,Federal,US,MA,Chapadinha.,CERRADO,CERRADO,CR5 Parnaíba/PI
107,FLORESTA NACIONAL DE SANTA ROSA DO PURUS,2001,Flona,2315568808,4301636251,DEC S/N de 07/08/2001,Federal,US,AC,Feijó Santa Rosa do Purus.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
108,FLORESTA NACIONAL DE SÃO FRANCISCO,2001,Flona,211478045,830297625,DEC S/N de 07/08/2001,Federal,US,AC,Sena Madureira.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
86,FLORESTA NACIONAL DE BRASÍLIA,1999,Flona,93362464,843999923,DEC S/N de 10/06/1999,Federal,US,DF,Brasília.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
122,FLORESTA NACIONAL DO RIO PRETO,1990,Flona,28174008,418742857,DEC  98.845 de 17/01/1990,Federal,US,ES,Conceição da Barra.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
94,FLORESTA NACIONAL DE IPANEMA,1992,Flona,53848254,357386402,DEC  530 de 20/05/1992.,Federal,US,SP,Araçoiaba da Serra Iperó Capela do Alto.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
154,PARQUE NACIONAL DA TIJUCA,1961,Parna,39585117,884844755,"DEC 50.923 de 06/07/1961 ,DEC 60.183 de 08/02/1967 ,DEC 70.186 de 23/02/1972 ,DEC S/N de 03/06/2004",Federal,PI,RJ,Rio de Janeiro.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
78,FLORESTA NACIONAL DE CAÇADOR,1968,Flona,70654,157307151,Portaria 560 de 25/10/1968,Federal,US,SC,Caçador.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
241,RESERVA EXTRATIVISTA IPAÚ-ANILZINHO,2005,Resex,558350121,1171742582,DEC S/N de 14/06/2005,Federal,US,PA,Baião.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
218,RESERVA DE DESENVOLVIMENTO DE SUSTENTÁVEL DE  ITATUPÃ-BAQUIÁ,2005,RDS,644421784,1161942964,DEC S/N de 14/06/2005,Federal,US,PA,Gurupá.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
272,PARQUE NACIONAL DA CHAPADA DAS MESAS,2005,Parna,1599537806,3614059744,"DEC DE 12 DE DEZEMBRO DE 2005, DEC de S/N 31/01/2006",Federal,PI,MA,Estreito Carolina Riachão.,CERRADO,CERRADO,CR5 Parnaíba/PI
183,PARQUE NACIONAL GRANDE SERTÃO VEREDAS,1989,Parna,2308561429,2818920967,"DEC 97.658 de 12/04/1989, DEC S/N de 21/05/2004",Federal,PI,BA/MG,Cocos Formoso Chapada Gaúcha.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
258,RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO,2004,Resex,7370888682,4930435238,DEC S/N de 08/11/2004,Federal,US,PA,Altamira Itaituba Rurópolis Trairão.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
97,FLORESTA NACIONAL DE JACUNDÁ,2004,Flona,2212195251,3887522231,DEC S/N de 01/12/2004,Federal,US,RO,Porto Velho Candeias do Jamari.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
105,FLORESTA NACIONAL DE RITÁPOLIS,1999,Flona,891901,4386458,DEC S/N de 21/09/1999,Federal,US,MG,Ritápolis.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR11 Lagoa Santa/MG
84,FLORESTA NACIONAL DE ANAUÁ,2005,Flona,2594029894,3913145257,DEC S/N de 18/02/2005,Federal,US,RR,Rorainópolis.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
257,RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE,2005,Resex,3249059325,3990332309,DEC S/N de 17/02/2005,Federal,US,AC/AM,Cruzeiro do Sul Tarauacá  Marechal Thaumaturgo Porto Walter.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
102,FLORESTA NACIONAL DE PALMARES,2005,Flona,1682107,56287184,DEC S/N de 21/02/2005,Federal,US,PI,Teresina Altos.,CAATINGA,CAATINGA,CR5 Parnaíba/PI
190,REFUGIO DE VIDA SILVESTRE DA ILHA DOS LOBOS,1983,Revis,1423882,48004289,"DEC Nº 88.463 DE 04/07/1983, DEC S/N de 13/02/2006",Federal,PI,RS,Torres.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR9 Florianópolis/SC
51,ESTAÇÃO ECOLÓGICA DE CARACARAÍ,1982,Esec,867949142,1628251394,DEC  87.222 de 31/05/1982.,Federal,PI,RR,Caracaraí.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
60,ESTAÇÃO ECOLÓGICA NIQUIÁ,1985,Esec,2847906287,3472041237,DEC 91.306 de 03/06/1985,Federal,PI,RR,Caracaraí.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
169,PARQUE NACIONAL DO CABO ORANGE,1980,Parna,6573277743,5128979737,DEC 84.913 de 15/07/1980,Federal,PI,AP,Oiapoque Calçoene.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
210,RESERVA BIOLÓGICA DO RIO TROMBETAS,1979,Rebio,407759213,3427069767,DEC  84018 de 21/09/1979,Federal,PI,PA,Oriximiná.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
